Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Northumberland Count Forest,This project is to collect all of the information possible about the natural world in the Northumberland County Forest,Data,North America,Private,North America,2012,Ongoing,<10 km,Terrestrial,Everything ,No,NA,NA,None,NA,Some,None,1,1,1,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/northumberland-county-forest,iNaturalist,2012-05-11
Noxious Weeds Citizen Science Project,Help to determine the extent of noxious weeds invading the park Document the presence of five noxious weeds along 700 miles,Data,North America,Government,North America,2005,Ongoing,<10000 km,Terrestrial,Plants,Yes,"STAGE OF PLANT’S DEVELOPMENT (FLOWERING, BUD, ROSETTE)",NA,None,NA,Unknown,All,Unknown,Unknown,Unknown,Unknown,No children,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.nps.gov/glac/naturescience/ccrlc-citizen-science_weeds.htm,Scistarter,
OakMapper,"To map oak health in california, with particular interest in Sudden Oak Death",Data,North America,Academic,North America,2001,Ongoing,<10000 km,Terrestrial,Trees,No,NA,NA,Some,Specimen collection,Some,None,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,electronic,electronic,Yes,Web info,electronic,2,Unknown,NA,http://www.oakmapper.org/about,Cornell Citizen Science Central,2012-05-25
Odonata Dragonflies and Damselflies,Show us what dragonflies and/or damselflies you find in your explorations,Data,North America,Private,Global,2011,Ongoing,>10000 km,"Terrestrial, freshwater","Dragonflies, damselflies",No,NA,NA,Some,Photo,Some,None,23,2,13,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/odonata-dragonflies-and-damselflies--2,iNaturalist,2012-05-11
Ohio Bioblitz,Celebrate the OBS Centennial with an all-taxa BioBlitz across the varied physiographic regions of the beautiful state of Ohio,Data,North America,Private,North America,2011,Ongoing,<100 km,Multiple,Everything ,No,NA,NA,Some,Photo,Some,None,42,2,32,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/ohio-bioblitz,iNaturalist,2012-05-11
Ohio Department of natural Resources Division of Soil & Water Conservation ,Improve river health and educate and provide edu materials,Both,North America,Government,North America,1991,Ongoing,<1000 km,Freshwater,Macroinvertbrates,No,NA,NA,None,NA,None,None,5000,11,Unknown,Unknown,Anyone interested,Yes,workshop,in-person,Yes,Workshop,in-person,0,Unknown,NA,http://www.dnr.state.oh.us/tabid/980/default.aspx,EPA,
Ohio Lepidopterists: Long-term Monitoring of Butterflies,Monitor the butterflies of Ohio,Data,North America,NGO,North America,1996,Ongoing,<1000 km,Terrestrial,"Butterflies, plant phenology",No,NA,NA,Some,Photo and sample collection,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"workshop, web sources",combo,Yes,"workshop, web sources",combo,0,Unknown,NA,http://www.ohiolepidopterists.org/bflymonitoring/,NA,2012-05-25
Ohio Odonata Society Dragonfly Monitoring,The Ohio Odonata Society needs you to send in photos and specimens of dragonflies and damselflies in Ohio to help advance our understanding of these beautiful creatures This is your chance to help promote knowledge and appreciation of dragonflies and damselflies in Ohio!,Data,North America,NGO,North America,2006,Ongoing,<1000 km,Terrestrial,Odonates,No,NA,NA,All,Photo and/or specimen,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,Links to images,electronic,0,Unknown,NA,http://www.marietta.edu/~odoNAta/index.html,Scistarter,
Ohop Wildlife Monitoring Project,"This wildlife monitoring project is a collaboration of groups and citizens working together to restore the Ohop Watershed, a tributary of the Nisqually River in South Pierce County",Data,North America,"NGO, Academic",North America,2009,Ongoing,<10 km,"Terrestrial, freshwater","Birds, mammals, amphibians",No,NA,NA,Unknown,NA,None,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person,in-person,Unknown,NA,NA,0,Unknown,NA,http://www.tahomaaudubon.org/Default.aspx?pageId=156584,Cornell Citizen Science Central,2012-04-26
Oklahoma Invasive Plant Council,To facilitate efficient and effective management of invasive plants for the protection of the economic and natural resources of Oklahoma’s private and public land and water,Data,North America,NGO,North America,2009,Ongoing,<1000 km,Terrestrial,Invasives,Yes,NA,NA,Some,Photo,Unknown,None,Unknown,Unknown,Unknown,NA,Anyone interested,No,NA,NA,Yes,Web gallery with pictures and descriptions,electronic,0,Unknown,NA,http://www.ok-invasive-plant-council.org/citizenscience.html,NA,2012-02-07
OPAL Biodiversity Survey,"Get students oudoors, see life and diversity n hedges",Education,Europe,NGO,Europe,2007,2012,<1000 km,Terrestrial,Everything,No,NA,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested intersted,Yes,online,electronic,Yes,Online keying chart,electronic,0,Unknown,NA,http://www.opalexplorenature.org/BiodiversitySurvey,Scistarter,2012-02-01
OPAL Bugs Count,"We aim to create and inspire a new generation of nature-lovers by getting people to explore, study, enjoy and protect their local environment ",Both,Europe,"NGO, Academic ",Europe,2007,Ongoing,<10000 km,Terrestrial,Invertebrates,No,NA,NA,Some,Photo,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested who is interested,Yes,"online, downloadable material",electronic,Yes,"Online, downloadable material",electronic,0,Unknown,NA,http://www.opalexplorenature.org/bugscount,Scistarter,2012-01-27
OPAL Soil and Earthworm Survey,"Improve knowledge of earthworms and the soil they live in; get students oudoors, see earth worm diversity and distirbution",Education,Europe,NGO,Europe,2007,2012,<1000 km,Terrestrial,Earthworms,No,NA,NA,All,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"online, in-person, print outs",combo,Yes,electronic key you can print out,electronic,0,Yes,Survey/questionaire,http://www.opalexplorenature.org/takingpart,Scistarter,2012-02-01
Operation Bluetongue,To get an understanding of where and why certain species inhabit particular areas,Both,Oceania,Academic,Oceania,2007,2007,<10000 km,Terrestrial,Bluetongue lizards,No,NA,NA,Some,Photo,Some,Unknown,1500,1,1500,2007,Unknown,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://w3.unisa.edu.au/barbarahardy/projects/bluetongue.asp,Cornell Citizen Science Central,2012-05-25
Operation Magpie,Unknown,Both,Oceania,Academic,Oceania,2009,2009,<10000 km,Terrestrial,Magpies,No,NA,NA,Some,Photo,Some,Unknown,2000,1,2000,2009,Anyone interested,No,NA,NA,Yes,Fact sheet,electronic,0,Unknown,NA,http://magpie.unisa.edu.au/,Cornell Citizen Science Central,2012-05-25
Operation Possum,"Conservation, education, sustaiNAbility",Both,OceaNA,Academic,OceaNA,2008,2008,<10000 km,Terrestrial,Possums,No,NA,NA,Unknown,NA,Some,Unknown,2276,1,2276,Unknown,Anyone interested,No,NA,NA,Yes,website photo,electronic,1,Unknown,NA,http://www.unisa.edu.au/barbarahardy/books/possum.asp,Cornell Citizen Science Central,2012-04-27
Operation RubyThroat: The Hummingbird Project,"Through EarthTrek, Operation RubyThroat seeks data about two aspects of Ruby-throated Hummingbird behavior: 1) Timing of migration; and 2) Nesting In addition to providing much-needed baseline information, over time your data may help show whether these RTHU behaviors are changing, perhaps due to exterNAl factors such as climate change, alteration of habitat, etc",Data,North America,NGO,North America,1984,Ongoing,<10000 km,Terrestrial,Ruby throated hummingbird,No,"Migration, nesting",NA,None,NA,None,None,Unknown,Unknown,Unknown,Unknown,"Anyone interested, target some school groups",Yes,online,electronic,Yes,online,electronic,0,Yes,Classroom curriculum provided,http://goearthtrek.com/ORT/ORT3.html,Scistarter,2012-02-17
Operation Spider,"Operation Spider is a large-scale, community-based study of spiders in South Australia We are collecting data about spider species, how people maNAge spiders, and participants’ attitudes towards spiders The aims of Operation Spider are to: engage the public with local wildlife; increase awareness of the ecological roles and economic importance of spiders; collect data on spider distributions; collect data on people’s attitudes towards spiders; and to feed knowledge back to the community",Both,Oceania,Academic,Oceania,2010,2010,Unknown,Terrestrial,Spiders,No,NA,NA,All,Photo,Unknown,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online-sampling sheet,electronic,Yes,Link to pictures of specific spiders attached to online quiz,electronic,0,Unknown,NA,http://www.unisa.edu.au/barbarahardy/research/citizen-science.asp,Scistarter,
OPIHI: Our Project In Hawaii's Intertidal,"OPIHI (Our Project in Hawaii’s Intertidal) is a school-based monitoring program of Hawaii’s rocky intertidal where students improve their scientific skills while gathering data in an area that has not been well studied in Hawaii While taking part in OPIHI, students learn about topics in marine ecology and conservation, species identification, and sampling techniques Most importantly, students build their confidence and interest in science We hope this place-based learning connects students to their local environments and NAtural resources and encourages wise stewardship",Education,North America,"Academic, NGO",North America,Unknown,Ongoing,<1000 km,Marine,"Fish, mollusks, urchins, seahares, barnacles, periwinkles, nerites, opihi, red, green, and brown algae",Yes,NA,NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,Students (middle and HS),Yes,webpage instructions,electronic,Yes,website photos and info,electronic,0,Yes,Pre/post test concept inventories; post-project evaluation,http://www.hawaii.edu/gk-12/opihi/index.shtml,Cornell Citizen Science Central,2012-05-04
Osa Nature Counts,To monitor plants and animals on the Open Space Authority's lands using the free iNaturalist app,Data,North America,Government,North America,2012,Ongoing,<10 km,Terrestrial,"Plants, reptile, birds, insects, fungus, mollusk",No,NA,NA,All,Photo,All,None,5,1,5,2012,Anyone interested,Yes,web instructions,electronic,Yes,webpage photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/osa-nature-counts,iNaturalist,2012-05-18
Osprey NestWatch - Volunteer Monitoring Program,"Involve park staff, local birdwatchers and school groups in gathering NAtural resource data A greater number of people keeping an eye on nests helps make osprey monitoring more cost-effective Collect long-term monitoring data on osprey nest and productivity Keep park staff and the public informed about the status and trends of osprey reproduction at Lake Roosevelt NRA",Both,North America,Government,North America,Unknown,Ongoing,<1000 km,"Terrestrial, freshwater",Osprey,No,NA,NA,Some,Expert present,None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,website ,electronic,Yes,"photos and information, and links",electronic,0,Unknown,NA,http://science.nature.nps.gov/im/units/ucbn/monitor/osprey/nestwatch/index.cfm,Scistarter,2012-02-13
Pacific Flyway Shorebird Survey (PFSS),PFSS is a coordiNAted multi-partner monitoring program led by PRBO Conservation Science designed to guide the maNAgement and conservation of wintering shorebirds in the Pacific Flyway,Data,North America,NGO,North America,Unknown,Ongoing,<100 km,Marine,Coastal birds,No,NA,NA,Unknown,NA,All,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,training session with expert,in-person,Yes,Training session with expert,in-person,0,Unknown,NA,http://data.prbo.org/apps/pfss/index.php,Cornell Citizen Science Central,2012-05-11
PasadeNA Area Biodiversity,"Ongoing project monitoring the biodiversity of the greater PasadeNA area including Eaton Canyon, HahamongNA Watershed Park, the Arroyo Seco, Ernest Debs Park and the adjacent watershed areas",Data,North America,Unknown,North America,2012,Ongoing,<10 km,Terrestrial,"Plants, animals",No,NA,NA,Some,Photo,All,None,2,1,2,2012,Anyone interested,No,NA,NA,Yes,Links to wikipedia & photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/pasadena-area-biodiversity,iNaturalist,2012-05-18
